a_exp,t_cou,t_des3,t_fee,p_fla,p_work
教师,德国,学术会议,科研经费,良好,土木工程学院
教师,德国,学术会议,科研经费,优秀,土木工程学院
教师,德国,学术会议,科研经费,优秀,土木工程学院
副教授,美国,合作研究,科研经费,优秀,基础与交叉科学研究院
教授,美国,合作研究,科研经费,优秀,基础与交叉科学研究院
教师,日本,访问考察,学校经费,优秀,校本部机关
,日本,访问考察,学校经费,一般,校本部机关
,日本,访问考察,学校经费,一般,校本部机关
教师,德国,实习培训,学校经费,良好,人文与社会科学学院
教师,阿尔及利亚,访问考察,学校经费,优秀,校本部机关
教授,加拿大，俄罗斯,访问考察,学院经费,优秀,航天学院
教师,美国,学术会议,科研经费,良好,机电工程学院
教师,美国,学术会议,科研经费,良好,机电工程学院
教师,美国,学术会议,科研经费,良好,机电工程学院
院长,中国香港,实习培训,境外邀请方,良好,航天学院
,韩国,学术交流,学校经费,优秀,市政环境工程学院
,韩国,学术交流,学校经费,良好,生命科学与技术学院
,韩国,学术交流,学校经费,良好,市政环境工程学院
,韩国,学术交流,学校经费,优秀,化工学院
,韩国,学术交流,学校经费,优秀,校本部机关
教师,日本,学术会议,科研经费,良好,计算机科学与技术学院
教师,新加坡,学术会议,学校经费,良好,计算机科学与技术学院
教授,美国,学术会议,科研经费,良好,电子与信息工程学院
,西班牙,合作研究,科研经费,良好,能源科学与工程学院
教授,美国,学术会议,科研经费,良好,材料科学与工程学院
,美国,学术会议,学校经费,优秀,机电工程学院
教师,美国,学术会议,学校经费,优秀,机电工程学院
学生,美国,学术会议,科研经费,良好,计算机科学与技术学院
教师,德国,学术交流,科研经费,良好,化工学院
,美国,留学进修,境外邀请方,良好,理学院
教授,俄罗斯,访问考察,学校经费,优秀,航天学院
教师,美国,学术会议,科研经费,优秀,计算机科学与技术学院
教授,香港，澳门,学术会议,科研经费,优秀,航天学院
,中国澳门,学术会议,学校经费,良好,电气工程及自动化学院
教师,韩国,学术会议,科研经费,一般,机电工程学院
教师,韩国,学术会议,科研经费,优秀,土木工程学院
教授,美国,学术会议,学校经费,优秀,建筑学院
教师,中国香港,学术会议,科研经费,优秀,电气工程及自动化学院
学生,荷兰,学术会议,科研经费,优秀,电子与信息工程学院
教师,日本,学术会议,学校经费,优秀,机电工程学院
教师,南非,学术会议,学校经费,优秀,食品科学与工程学院
教师,南非,学术会议,学校经费,一般,食品科学与工程学院
教师,南非,学术会议,学校经费,良好,化工学院
教师,南非,学术会议,学校经费,优秀,食品科学与工程学院
