副教授,4,澳大利亚，新西兰,访问考察,学校经费,女,已婚,初级,校本部机关
教师,4,澳大利亚，新西兰,访问考察,学校经费,女,未婚,优秀,校本部机关
,,,,,男,未婚,良好,航天学院
,,,,,男,未婚,良好,航天学院
,,,,,男,未婚,良好,航天学院
,,,,,男,未婚,良好,航天学院
教师,1,日本,学术会议,科研经费,男,已婚,优秀,电子与信息工程学院
,2,法国,学术会议,学校经费,男,已婚,优秀,电气工程及自动化学院
教授,2,法国,学术会议,学校经费,男,已婚,优秀,市政环境工程学院
,1,日本,学术会议,学校经费,男,已婚,良好,机电工程学院
教师,1,马耳他,学术会议,科研经费,男,已婚,优秀,深圳研究生院
教师,2,美国,实习培训,学校经费,男,已婚,良好,校本部机关
教师,2,美国,实习培训,学校经费,男,已婚,良好,校本部机关
教师,1,中国香港,实习培训,学校经费,男,已婚,良好,化工学院
,,,,,男,已婚,一般,航天学院
,,,,,男,已婚,良好,航天学院
,,,,,男,已婚,优秀,航天学院
,,,,,男,已婚,优秀,航天学院
,,,,,女,已婚,优秀,航天学院
教授,7,美国，加拿大,学术交流,学校经费,男,已婚,优秀,市政环境工程学院
教师,7,美国，加拿大,学术交流,学校经费,男,已婚,良好,市政环境工程学院
,7,美国，加拿大,学术交流,学校经费,女,已婚,优秀,基础与交叉科学研究院
教授,7,美国，加拿大,学术交流,学校经费,女,已婚,优秀,市政环境工程学院
教授,7,美国，加拿大,学术交流,学校经费,女,已婚,良好,基础与交叉科学研究院
教授,7,美国，加拿大,学术交流,学校经费,男,已婚,优秀,市政环境工程学院
,7,美国，加拿大,学术交流,学校经费,男,已婚,良好,市政环境工程学院
教师,1,澳大利亚,学术会议,学校经费,男,已婚,优秀,化工学院
教师,1,加拿大,学术会议,科研经费,女,已婚,良好,威海校区
教师,2,加拿大,学术会议,科研经费,男,未婚,良好,威海校区
教师,2,加拿大,学术会议,科研经费,女,已婚,良好,威海校区
教师,1,加拿大,学术会议,科研经费,男,未婚,良好,威海校区
,,,,,男,未婚,良好,航天学院
教授,1,意大利,学术会议,学校经费,男,已婚,优秀,法学院
,1,美国,学术会议,学校经费,男,未婚,优秀,计算机科学与技术学院
教师,1,日本,学术会议,学校经费,女,已婚,优秀,外国语学院
,1,俄罗斯,留学进修,学院经费,女,未婚,优秀,基础与交叉科学研究院
教师,4,美国,学术会议,科研经费,男,已婚,优秀,计算机科学与技术学院
教师,4,美国,学术会议,科研经费,男,未婚,优秀,计算机科学与技术学院
教师,4,美国,学术会议,科研经费,男,未婚,优秀,计算机科学与技术学院
,1,中国香港,学术会议,境外邀请方,男,已婚,良好,电子与信息工程学院
教师,1,土耳其,学术会议,科研经费,男,已婚,优秀,计算机科学与技术学院
教师,16,美国,学术会议,学校经费,男,已婚,良好,土木工程学院
教师,16,美国,学术会议,学校经费,男,已婚,优秀,经济与管理学院
教师,16,美国,学术会议,学校经费,男,已婚,良好,经济与管理学院
教师,16,美国,学术会议,学校经费,男,已婚,一般,经济与管理学院
教师,16,美国,学术会议,学校经费,男,已婚,一般,经济与管理学院
教师,16,美国,学术会议,学校经费,男,已婚,良好,经济与管理学院
教师,16,美国,学术会议,学校经费,男,已婚,良好,土木工程学院
教师,16,美国,学术会议,学校经费,男,已婚,良好,经济与管理学院
教师,16,美国,学术会议,学校经费,女,已婚,良好,土木工程学院
教师,16,美国,学术会议,学校经费,男,已婚,一般,经济与管理学院
教师,1,加拿大,学术交流,科研经费,男,已婚,良好,基础与交叉科学研究院
教师,1,英国,访问学者,学校经费,女,已婚,优秀,外国语学院
教师,1,美国，加拿大,学术会议,学校经费,男,已婚,良好,土木工程学院
教师,1,加拿大,学术会议,科研经费,男,已婚,良好,电气工程及自动化学院
教授,2,中国香港,学术会议,科研经费,男,已婚,良好,电子与信息工程学院
教授,2,中国香港,学术会议,科研经费,男,已婚,优秀,电子与信息工程学院
副教授,6,中国香港,访问考察,学校经费,女,已婚,良好,校本部机关
教授,6,中国香港,访问考察,学校经费,女,已婚,良好,计算机科学与技术学院
教授,6,中国香港,访问考察,学校经费,男,已婚,一般,校本部机关
教师,6,中国香港,访问考察,学校经费,男,已婚,一般,校本部机关
教师,6,中国香港,访问考察,学校经费,女,已婚,良好,校本部机关
副教授,6,中国香港,访问考察,学校经费,女,已婚,良好,校本部机关
,1,加拿大,学术会议,科研经费,男,已婚,良好,电气工程及自动化学院
副教授,3,波兰,学术会议,学校经费,男,已婚,良好,材料科学与工程学院
教授,3,波兰,学术会议,学校经费,男,已婚,良好,材料科学与工程学院
副教授,3,波兰,学术会议,学校经费,男,已婚,良好,材料科学与工程学院
,2,中国香港,学术会议,科研经费,男,已婚,优秀,电子与信息工程学院
教授,2,中国香港,学术会议,科研经费,男,已婚,良好,电子与信息工程学院
教授,1,澳大利亚,访问考察,学校经费,女,已婚,优秀,校本部机关
,4,巴西,访问考察,境外邀请方,男,未婚,优秀,市政环境工程学院
副教授,1,法国,学术会议,学校经费,男,已婚,优秀,计算机科学与技术学院
,6,韩国,学术会议,学校经费,,,,
教师,1,澳大利亚,学术会议,学校经费,男,已婚,优秀,化工学院
教师,1,以色列，新加坡,访问考察,科研经费,男,已婚,优秀,市政环境工程学院
教师,1,澳大利亚,访问考察,学校经费,男,已婚,优秀,市政环境工程学院
教师,3,法国,学术会议,学校经费,男,已婚,良好,航天学院
教师,3,法国,学术会议,学校经费,男,已婚,优秀,航天学院
教师,3,法国,学术会议,学校经费,男,已婚,良好,航天学院
,4,韩国,学术会议,学校经费,男,已婚,良好,土木工程学院
教师,1,美国,学术会议,学校经费,男,已婚,优秀,机电工程学院
教授,1,日本,合作研究,科研经费,男,已婚,良好,能源科学与工程学院
教师,1,葡萄牙,学术会议,科研经费,女,未婚,良好,机电工程学院
教师,1,越南,合作研究,境外邀请方,男,已婚,一般,体育部
教师,1,塞尔维亚,学术会议,学校经费,男,已婚,一般,电气工程及自动化学院
教师,1,美国,学术会议,学校经费,男,已婚,良好,校本部机关
教授,1,瑞典,访问考察,学校经费,男,已婚,优秀,生命科学与技术学院
